,year,year_code,country_name,country_code,total_fertility_rate,gdp_2015_dollar,gdp_per_capita_2015_dollar,gdp_growth,physicians_per_1000,hospital_beds_per_1000,arable_land_hectare_per_person,cpi,crop_production_index,food_production_index,percent_of_household_expenditure_in_gdp,life_expectancy_at_birth,infant_mortality_rate,child_mortality_rate,female_percentage_in_labor
261,2000,YR2000,Brazil,BRA,2.255,1190000000000.0,6745.857771,4.387949447,,2.78,0.258412684,52.53158274,53.96,56.86,64.59270034,69.737,30.3,34.6,
262,2000,YR2000,France,FRA,1.89,2050000000000.0,33592.46683,3.923669227,3.375,8.25,0.301280089,84.38913231,103.98,103.54,53.85737039,79.05609756,4.1,5.4,49.076
263,2000,YR2000,Germany,DEU,1.38,2840000000000.0,34490.07577,2.912502964,3.272,9.19,0.143580872,85.69880785,101.29,93.72,56.29925703,77.92682927,4.4,5.4,48.858
264,2000,YR2000,Poland,POL,1.37,281000000000.0,7344.120761,4.56098541,2.208,4.900000095,0.365747555,76.04760599,101.87,93.24,63.83698761,73.74878049,8.1,9.3,48.873
265,2000,YR2000,Nigeria,NGA,6.124,180000000000.0,1462.535997,5.015934759,0.269,1.2,0.284895684,29.60007172,64.38,64.5,,47.193,109.6,182.5,
266,2000,YR2000,Kenya,KEN,5.137,36630908099.0,1187.32581,0.599695391,,,0.158533076,38.08787233,57.92,58.55,78.29077157,54.411,58.2,96.1,
267,2000,YR2000,United Kingdom,GBR,1.64,2290000000000.0,38918.45506,4.318727058,1.994,4.08,0.09977499,81.4684668,98.54,95.57,66.14250985,77.74146341,5.6,6.5,54.191
268,2000,YR2000,China,CHN,1.628,2770000000000.0,2193.896866,8.490093406,1.268,1.71,0.094278281,80.97002229,61.97,63.37,46.73235842,71.881,29.9,36.7,67.903
269,2000,YR2000,Japan,JPN,1.36,3990000000000.0,31430.63113,2.764647551,1.935,14.7,0.03527195,102.6676151,114.41,101.97,53.66877113,81.07609756,3.3,4.5,49.279
270,2001,YR2001,Argentina,ARG,2.531,378000000000.0,10090.65344,-4.408839683,3.2481,,0.740278416,,63.93,69.29,68.91198431,74.186,16.8,18.8,43.2
