Time,Time Code,Country Name,Country Code,"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",GDP (constant 2015 US$) [NY.GDP.MKTP.KD],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]",Arable land (hectares per person) [AG.LND.ARBL.HA.PC],Consumer price index (2010 = 100) [FP.CPI.TOTL],Crop production index (2014-2016 = 100) [AG.PRD.CROP.XD],Food production index (2014-2016 = 100) [AG.PRD.FOOD.XD],Households and NPISHs final consumption expenditure (% of GDP) [NE.CON.PRVT.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.BA.ZS]","Labor force participation rate, female (% of female population ages 15+) (national estimate) [SL.TLF.CACT.FE.NE.ZS]","Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]"
1984,YR1984,Japan,JPN,1.81,2.63E+12,21912.15186,4.410880154,,,0.040272145,86.66870071,132.91,108.08,51.97332446,77.29121951,5.8,7.9,,48.9,
1985,YR1985,Argentina,ARG,3.095,2.72E+11,8987.933706,-5.189024353,2.705,,0.858219826,,38.19,49.84,,69.651,26.9,30.6,,28.04,
1985,YR1985,Brazil,BRA,3.471,8.36E+11,6110.358401,7.85,1.467,,0.386799802,3.23E-08,40.94,35.05,69.53992255,64.198,62.7,76.9,,41.09,
1985,YR1985,France,FRA,1.86,1.41E+12,24870.50582,1.622781367,2.7,10.5,0.316833216,61.27793028,97.44,100.91,56.61531314,75.3,8.5,10.4,,46.475,
1985,YR1985,Germany,DEU,1.37,1.99E+12,25630.333,2.327935262,,11,0.153916709,63.04592574,94.75,102.94,58.60583605,74.18909756,9.2,11.2,,41.116,
1985,YR1985,Poland,POL,2.33,,,,2,5.699999809,0.39006088,0.129811665,121.52,110.78,,70.54878049,17.8,20.3,,,
1985,YR1985,Nigeria,NGA,6.616,1.21E+11,1451.369001,5.913027459,0.192,,0.325571793,0.821954257,25.09,27.92,,46.317,123.2,207.5,,,
1985,YR1985,Kenya,KEN,6.975,23136581312,1189.409306,4.300561819,0.154,1.707100034,0.23514097,5.172452409,30.41,34.44,58.24234513,60.58,62.1,95.7,,,
1985,YR1985,United Kingdom,GBR,1.79,1.49E+12,26315.12865,4.14741495,,7.400000095,0.123606841,47.6478981,93.07,98.49,64.86847536,74.62926829,9.7,11.4,,48.698,
1985,YR1985,China,CHN,2.633,7.01E+11,667.1285419,13.43067752,,2.369999886,0.114267773,,34.04,28.49,50.85690006,66.643,41.9,54.2,,,
1985,YR1985,Japan,JPN,1.76,2.77E+12,22898.99424,5.159807905,1.5,14.69999981,0.039971201,88.43004908,134.02,110.64,51.65027249,77.5604878,5.5,7.5,,48.7,
1986,YR1986,Argentina,ARG,3.075,2.89E+11,9397.883608,6.153377063,2.984,,0.849444617,,38.36,51.12,,70.119,26.1,29.6,,,
1986,YR1986,Brazil,BRA,3.342,8.98E+11,6433.497982,7.49,,,0.370902002,7.99E-08,37.62,33.88,70.85077847,64.64,60.5,73.9,,41.14,
1986,YR1986,France,FRA,1.85,1.44E+12,25319.31509,2.33727635,2.8,10.30000019,0.316502926,62.83348642,94.26,99.66,56.05821782,75.6,8.3,10.1,,47.092,
1986,YR1986,Germany,DEU,1.43,2.04E+12,26204.58958,2.287339221,,,0.15388488,62.96433589,96.16,105.62,57.14414007,74.39682927,8.7,10.6,,41.565,
1986,YR1986,Poland,POL,2.22,,,,2,,0.386692492,0.151295454,131.15,117.18,,70.84878049,17.2,19.6,,,
1986,YR1986,Nigeria,NGA,6.557,1.21E+11,1414.697626,0.060945274,0.187,,0.318865566,0.868946627,27.49,29.24,,45.975,123.7,208.4,,37.21,
1986,YR1986,Kenya,KEN,6.848,24797222251,1229.967317,7.177555391,,,0.227817448,5.303536629,33.56,37.85,59.92227154,60.216,61.6,95,,,
1986,YR1986,United Kingdom,GBR,1.78,1.54E+12,27081.34897,3.15034063,,,0.122438763,49.28108193,97.83,98.93,66.8858968,74.92926829,9.4,11.1,,49.163,
1986,YR1986,China,CHN,2.721,7.64E+11,716.10534,8.949961764,1.35,2.400000095,0.112955689,26.04831978,34.72,29.8,51.01619905,66.97,42,53.9,,,
1986,YR1986,Japan,JPN,1.72,2.86E+12,23527.71252,3.294047613,,,0.03967666,88.95672678,134.69,111.64,51.31823819,78.0104878,5.2,7.1,,48.6,
1987,YR1987,Argentina,ARG,3.059,2.97E+11,9507.339813,2.704868828,,,0.84074254,,37.44,48.48,75.43319776,70.564,25.7,29.1,,28.18,
